frmAudioEngine.frmAudioEngine	Audio Engine	Engine de áudio
RECORDING_AUDIO_CHANNELS_NOT_SUPPORTED	This recording format does not support more than 2 Audio Channels.	Este formato de gravação não suporta mais de 2 canais de áudio.
AUDIO_CHANNELS_NOT_SUPPORTED_6	This format does not support more than 6 Audio Channels.	Este formato não suporta mais de 6 canais de áudio.
AUDIO_CHANNELS_NOT_SUPPORTED_8_SRT	SRT does not support more than 8 Audio Channels.	O SRT não suporta mais de 8 canais de áudio.
AUDIO_CHANNELS_NOT_SUPPORTED_TOO_MANY	vMix supports a maximum of 16 Audio Channels per input.	O vMix suporta no máximo 16 canais de áudio por input.
WINDOWS_ACCESS_DENIED	Windows has blocked access to this device. Check your Windows Privacy Settings to ensure Camera and Microphone access is enabled.	O Windows bloqueou o acesso a este dispositivo. Verifique suas configurações de privacidade do Windows para garantir que o acesso da câmera e do microfone está ativado.
SELECT_INPUT	Please select an Input.	Por favor, selecione um input.
SELECT_COPY_SOURCE	Please select one or more items to copy.	Por favor, selecione um ou mais itens para copiar.
MIX_MAXIMUM_REACHED	A maximum of 15 Mix inputs can be added at the same time.	Um máximo de 15 inputs Mix podem ser adicionados.
OUTPUT_MAXIMUM_REACHED	A maximum of 1 Input of this type can be added at a time.	No máximo 1 input deste tipo pode ser adicionado por vez.
EXTERNAL_OUTPUT_DEVICE_NOT_FOUND_1	Device not found or selected under Settings - External Output. Please check the settings and try again.	Dispositivo não encontrado ou selecionado em Configurações - Saída Externa. Verifique as configurações e tente novamente.
EXTERNAL_OUTPUT_DEVICE_NOT_FOUND_2	Device not found or selected under Settings - External Output - External 2.{newline}Check the settings or if you are not using External 2, untick the External Renderer checkbox in the External 2 tab.	Dispositivo não encontrado ou selecionado em Configurações - Saída Externa - Externa 2. Verifique as configurações ou, se não estiver usando Externo 2, desmarque a caixa de seleção Renderizador Externo na guia Externo 2.
Start	Start	Iniciar
Stop	Stop	Parar
Basic	Basic	Modo Básico
Advanced	Advanced	Avançado
Pause Rendering	Pause Rendering	Pausar renderização
Resume Rendering	Resume Rendering	Retomar renderização
Translations provided by Google Translate	Translations provided by Google Translate	Traduções fornecidas pelo Google Translate
This action will stop the following, do you wish to continue?	This action will stop the following, do you wish to continue?	Esta ação interromperá o seguinte, deseja continuar?
ToolTip.frmmain.cmdAudioMixer	Show or hide audio mixer pane	Exibir ou ocultar o painel de mixer de áudio
ToolTip.frmmain.cmdPause	Pause all currently playing video inputs	Pausar todos os inputs de vídeo que estão reproduzindo agora
ToolTip.frmmain.UiFader1	Manual fade using first transition effect. (T-Bar)	Ativação manual do primeiro efeito de transição (T-Bar)
ToolTip.frmmain.cmdFTB	Toggle fade to black on Output	Ativar ou desativar Fade To Black na saída
ToolTip.frmmain.cmdRecSetup	Configure Recording	Configurar gravação
ToolTip.frmmain.cmdRecStartStop	Start or stop Recording	Iniciar ou parar gravação
ToolTip.frmmain.cmdExternal	Configure External Output source	Configurar fonte de saída externa
ToolTip.frmmain.cmdDeckLinkRender	Start or stop External Output	Iniciar ou parar saída externa
ToolTip.frmmain.cmdDeckLinkInfo	View External Output statistics	Ver estatísticas de saída externa
ToolTip.frmmain.cmdRecInfo	View Recording statistics	Ver estatísticas de gravação
ToolTip.frmmain.cmdStreamingSetup	Configure Streaming settings	Configurar as definições de transmissão
ToolTip.frmmain.cmdStreaming	Start or stop Streaming	Iniciar ou parar transmissão
ToolTip.frmmain.cmdPlayListSetup	Configure a PlayList of Inputs	Configurar uma PlayList de inputs
ToolTip.frmmain.cmdPlaylist	Start or Stop a PlayList of Inputs	Iniciar ou parar uma PlayList de inputs
ToolTip.frmmain.cmdMultiCorderSetup	Configure recording of multiple camera inputs	Configurar a gravação de múltiplos inputs de câmera
ToolTip.frmmain.cmdMultiCorderStartStop	Start or Stop MultiCorder	Iniciar ou parar MultiCorder
ToolTip.frmmain.cmdOverlaySettings	Configure overlay settings	Configure as definições de Overlay
ToolTip.frmmain.cmdStatistics	View performance statistics	Ver estatísticas de desempenho
ToolTip.frmmain.cmdShortcuts	View shortcuts	Ver atalhos
ToolTip.frmmain.cmdPhoto	Take image snapshot of Output	Salvar uma imagem da saída
ToolTip.frmmain.cmdLock	Lock or unlock buttons such as Close and Start/Stop Recording	Travar ou destravar botões como Fechar e Iniciar/Parar Gravação
ToolTip.frmmain.cmdInputsAll	Show all Inputs	Exibir todos os inputs
ToolTip.frmmain.cmdInputsGreen	Show Inputs assigned to Green category	Exibir inputs da categoria verde
ToolTip.frmmain.cmdInputsRed	Show Inputs assigned to Red category	Exibir inputs da categoria vermelho
ToolTip.frmmain.cmdInputsPurple	Show Inputs assigned to Purple category	Exibir inputs da categoria roxo
ToolTip.frmmain.cmdInputsOrange	Show Inputs assigned to Orange category	Exibir inputs da categoria laranja
ToolTip.frmmain.cmdInputsBlue	Show Inputs assigned to Blue category	Exibir inputs da categoria azul
ToolTip.frmmain.cmdInputsAqua	Show Inputs assigned to Aqua category	Exibir inputs da categoria aqua
ToolTip.frmmain.cmdInputsSearch	Show Inputs with titles matching category text	Exibir inputs da categoria escolhida
ToolTip.frmmain.cmdScreen	Toggle on or off the Fullscreen Output display	Alternar a exibição da saída Fullscreen
ToolTip.frmmain.cmdQuickPlay	Transition from Preview to Output using the Transition effect configured in Settings	Faça a transição do Preview para a Saída usando as configurações do efeito de transição definidos em Configurar
ToolTip.frmmain.cmdAdvanced	Toggle the display of advanced buttons within the vMix main window	Alternar a exibição dos botões avançados dentro da janela principal do vMix
ToolTip.frmmain.cmdHelp	Browse Online Help	Procurar ajuda online
ToolTip.frmmain.cmdRestart	Restart the selected Input	Reiniciar o input selecionado
ToolTip.frmmain.cmdRestartM	Restart the selected Input	Reiniciar o input selecionado
ToolTip.frmmain.cmdPlayM	Play or Pause the selected Input	Reproduzir ou pausar o input selecionado
ToolTip.frmmain.cmdPlay	Play or Pause the selected Input	Reproduzir ou pausar o input selecionado
ToolTip.frmmain.cmdAddInput	Add a new Input such as a Video, Camera or Image	Adicione um novo input, como um vídeo, câmera ou imagem
ToolTip.frmmain.Input.cmdSelect	Toggle on or off audio for this Input	Ligar ou desligar o áudio deste input
ToolTip.frmmain.Output.cmdSelect	Toggle on or off audio for this Output	Ligar ou desligar o áudio deste input
ToolTip.frmmain.Input.cmdFollow	Toggle automatic audio mixing for this Input	Ativar ou desativar a mixagem de áudio automático para este input
ToolTip.frmmain.Output.cmdFollow	Show Performance Statistics for Audio Mixer	Mostrar estatísticas de desempenho para mixer de áudio
ToolTip.frmmain.cmdSolo	Solo this Input for monitoring on Headphones	Ouvir apenas esse input nos fones de monitoramento
ToolTip.frmmain.cmdSettings	Configure audio settings such as Gain and Compression	Configurar as definições de áudio como Ganho e Compressão
ToolTip.frmmain.cmdBusA	Send this Inputs audio to	Enviar este input de áudio para
ToolTip.frmmain.cmdBusB	Send this Inputs audio to	Enviar este input de áudio para
ToolTip.frmmain.cmdBusM	Send this Inputs audio to	Enviar este input de áudio para
ToolTip.frmmain.cmdSendToMaster	Send this Bus Mix to Master	Envie este Bus mix para Master
ToolTip.frmmain.iClose	Close this Input	Fechar este input
ToolTip.frmmain.iQuickPlay	Transition this Input directly to Output using the QuickPlay effect	Fazer a transição desse input direto para a saída usando o efeito QuickPlay
ToolTip.frmmain.iCut	Switch this Input directly to Output	Enviar esse input direto para a saída
ToolTip.frmmain.iLoop	Enable looping of this Input when it has finished playing	Ativar o loop para este input quando finalizar a reprodução
ToolTip.frmmain.iPlayPause	Play or pause this Input	Reproduzir ou pausar este input
ToolTip.frmmain.iOverlay1	Turn on or off this Input as an Overlay using the Overlay1 transition effect	Ativar ou desativar esse input como um Overlay usando o efeito de transição do Overlay1
ToolTip.frmmain.iOverlay2	Turn on or off this Input as an Overlay using the Overlay2 transition effect	Ativar ou desativar esse input como um Overlay usando o efeito de transição do Overlay2
ToolTip.frmmain.iOverlay3	Turn on or off this Input as an Overlay using the Overlay3 transition effect	Ativar ou desativar esse input como um Overlay usando o efeito de transição do Overlay3
ToolTip.frmmain.iOverlay4	Turn on or off this Input as an Overlay using the Overlay4 transition effect	Ativar ou desativar esse input como um Overlay usando o efeito de transição do Overlay4
ToolTip.frmmain.iAudio	Turn on or off the audio on this Input	Ligar ou desligar o áudio deste input
ToolTip.frmmain.iPreview	Display a large preview of this Input. Click the preview to close when done	Mostrar um preview grande do input. Clique no preview para fechar quando finalizar
ToolTip.frmmain.iConfigure	Configure various Input settings	Configurar as definições do input
ToolTip.frmmain.cmdSaveExisting	Save changes to currently open Preset file	Salvar alterações do perfil atual
ToolTip.frmmain.cmdSave	Save to a new Preset file	Salvar em um novo perfil
